Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
361717,WHOSIS_000001,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2007,,,,,,,63.8 [63.0-64.6],63.76838,62.9869,64.64267,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
362085,WHOSIS_000001,REGION,EMR,YEAR,,,SEX,SEX_FMLE,2011,,,,,,,69.7 [69.1-70.4],69.73995,69.08629,70.38756,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
362934,WHOSIS_000001,COUNTRY,HND,YEAR,AMR,Americas,SEX,SEX_MLE,2006,,,,,,,69.9 [68.9-71.0],69.93219,68.93185,70.95676,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
363317,WHOSIS_000001,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2017,,,,,,,81.3 [80.9-81.8],81.32461,80.93488,81.80094,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
363422,WHOSIS_000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2014,,,,,,,74.0 [73.5-74.5],74.00528,73.53268,74.49632,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
363878,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,SEX_BTSX,2017,,,,,,,81.4 [81.4-81.5],81.38857,81.37048,81.46067,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
365324,WHOSIS_000001,COUNTRY,PRY,YEAR,AMR,Americas,SEX,SEX_MLE,2019,,,,,,,72.2 [71.6-73.0],72.18344,71.56399,73.00021,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
365864,WHOSIS_000001,COUNTRY,RWA,YEAR,AFR,Africa,SEX,SEX_FMLE,2014,,,,,,,68.5 [67.8-69.2],68.47845,67.79286,69.23966,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
365939,WHOSIS_000001,COUNTRY,UZB,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,,,,,,,73.6 [73.4-73.8],73.56996,73.37018,73.83093,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
365955,WHOSIS_000001,WORLDBANKINCOMEGROUP,WB_LMI,YEAR,,,SEX,SEX_BTSX,2019,,,,,,,69.6 [69.0-70.2],69.57357,68.9742,70.15948,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
367136,WHOSIS_000001,COUNTRY,LAO,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2002,,,,,,,61.6 [60.9-62.3],61.5743,60.87364,62.32487,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
367373,WHOSIS_000001,COUNTRY,CUB,YEAR,AMR,Americas,SEX,SEX_MLE,2010,,,,,,,75.8 [75.8-75.9],75.84191,75.81077,75.93461,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
367514,WHOSIS_000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2009,,,,,,,72.4 [72.3-72.6],72.41935,72.32029,72.56339,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
